y_real,y_predict
1390,871.5977353237163
925,1262.8403637060792
2475,1043.3359616158787
1495,3015.6250619430084
1695,3064.076326114856
1560,1559.999999998886
1560,1559.999999998886
1000,364.4897157666307
950,1461.740936741317
625,358.8743179410404
600,155.61164876603138
544,401.2672575062109
450,546.3758677286731
750,247.63763825143343
2000,588.6607964538042
1400,3150.0103231908042
1095,794.5062302617696
915,786.3746590458552
900,839.9664695798331
865,296.8248978904084
725,740.9144197277915
650,615.9538229766697
650,467.8650575887419
645,382.19306229095963
595,382.19306229095963
1195,1362.5381572904578
1150,1364.4016674509135
942,1143.005583887357
1250,1367.196932691597
800,183.5643011728665
685,392.4423681734658
525,392.4423681734658
1095,1369.9921979322805
1695,3103.2100394844247
775,857.0305511807995
1299,1381.1732588950147
705,590.8451636355493
1800,1508.3286907527088
1600,2313.831299867531
1500,3178.894730677867
1330,1508.3286907527088
1310,1508.3286907527088
1300,1553.7889300707725
1295,1508.3286907527088
1255,1553.7889300707725
1250,1446.6086442059502
1250,1508.3286907527088
1200,769.7988272148546
1200,769.7988272148546
1175,1508.3286907527088
1155,1508.3286907527088
1150,868.8508770668961
1145,1516.256221361155
1135,2017.1247444398664
1115,1508.3286907527088
1095,1012.8220741264519
1090,1063.751811545638
1075,1071.7351738757927
1050,842.5386069260707
1050,769.7988272148546
1045,1063.751811545638
1025,1491.9680764234367
1005,1508.3286907527088
1000,1508.3286907527088
1000,1413.1769517090186
1000,823.3906377488324
1000,769.7988272148546
1000,769.7988272148546
1000,769.7988272148546
1000,1508.3286907527088
975,1553.7889300707725
965,994.9163210542916
955,823.3906377488324
950,769.7988272148546
950,769.7988272148546
930,1508.3286907527088
925,976.2665613776992
925,1011.16955938791
925,868.8508770668961
915,769.7988272148546
900,868.8508770668961
900,456.5377090960862
900,769.7988272148546
900,769.7988272148546
900,1553.7889300707725
900,1191.1194852246067
895,769.7988272148546
895,769.7988272148546
875,1063.751811545638
865,411.0774697780226
865,824.8851682333824
860,456.5377090960862
855,769.7988272148546
850,1109.2120508637015
850,864.3631142321151
850,1109.2120508637015
